state,test,score,black,hispanic,FRL,income
Utah,g4reading,36.98314677,1,16,40,61078.07485
Vermont,g4reading,42.14058225,2,1,41,55615.76169
Virginia,g4reading,43.1939452,20,12,36,66595.29952
Washington,g4reading,39.70149987,4,21,45,61598.02928
West Virginia,g4reading,27.25646424,5,1,74,42213.28493
Wisconsin,g4reading,34.73139152,10,12,45,54554.29546
Wyoming,g4reading,37.12526916,1,13,40,57023.82891
Alabama,g8mathematics,19.73929453,33,4,56,42738.20386
Alaska,g8mathematics,33.03285094,4,7,45,62854.73724
Arizona,g8mathematics,30.57134703,5,43,56,49164.55627
Arkansas,g8mathematics,27.68077892,21,10,58,39751.86316
California,g8mathematics,27.57531558,6,53,58,57688.22366
Colorado,g8mathematics,41.91205649,5,30,40,60728.93533
Connecticut,g8mathematics,37.10839133,12,19,34,66480.70066
Delaware,g8mathematics,32.71449785,31,13,48,50951.3655
Florida,g8mathematics,30.75454237,21,29,56,47313.02277
Georgia,g8mathematics,29.3709893,38,11,59,48129.79512
Hawaii,g8mathematics,32.33009857,2,6,52,59244.22876
Idaho,g8mathematics,36.46273725,1,15,46,50192.74594
Illinois,g8mathematics,36.46074003,17,24,46,54842.723
Indiana,g8mathematics,38.09907049,11,9,46,48690.81743
Iowa,g8mathematics,35.7869997,5,8,38,54537.16482
Kansas,g8mathematics,40.48237821,7,16,45,51107.04087
Kentucky,g8mathematics,30.03106034,10,4,49,41920.66751
Louisiana,g8mathematics,20.82996659,46,4,65,39637.3462
Maine,g8mathematics,39.5187882,3,2,42,49996.66719
Maryland,g8mathematics,37.43143087,35,11,41,69070.6394
Massachusetts,g8mathematics,54.62887488,9,16,38,63772.18873
Michigan,g8mathematics,30.45494226,16,6,46,49771.14217
Minnesota,g8mathematics,47.16316571,8,7,32,61800.00437
Mississippi,g8mathematics,21.29973421,46,3,69,39011.69563
Missouri,g8mathematics,32.61546846,18,4,47,50399.22214
Montana,g8mathematics,39.6381727,1,4,39,44937.68256
Nebraska,g8mathematics,35.55534387,6,17,43,53364.4471
Nevada,g8mathematics,28.32560079,9,40,56,46694.94071
New Hampshire,g8mathematics,46.75657318,2,4,26,70063.00086
New Jersey,g8mathematics,48.8919398,17,19,34,64721.66431
New Mexico,g8mathematics,22.65974699,2,60,70,43091.00781
New York,g8mathematics,32.29278147,19,23,47,51108.16083
North Carolina,g8mathematics,36.27334687,28,13,54,41682.59397
North Dakota,g8mathematics,40.58686394,3,2,30,54731.92017
Ohio,g8mathematics,40.16310166,15,3,42,45709.18892
Oklahoma,g8mathematics,25.0083738,10,13,53,46443.78773
Oregon,g8mathematics,34.29191061,2,22,54,54417.18927
Pennsylvania,g8mathematics,41.88157361,14,8,41,53305.0636
Rhode Island,g8mathematics,35.98220969,8,20,44,57345.98303
South Carolina,g8mathematics,30.84431851,36,5,54,44397.72959
South Dakota,g8mathematics,38.37690121,2,3,36,52292.70959
Tennessee,g8mathematics,27.52656148,21,6,53,43059.52589
Texas,g8mathematics,37.92104305,12,49,56,52853.99719
Utah,g8mathematics,36.18159825,1,16,38,61078.07485
Vermont,g8mathematics,46.86360939,2,2,37,55615.76169
Virginia,g8mathematics,38.0914528,23,11,35,66595.29952
Washington,g8mathematics,41.88426399,4,22,44,61598.02928
West Virginia,g8mathematics,23.51092411,6,1,57,42213.28493
Wisconsin,g8mathematics,39.83987733,9,10,40,54554.29546
Wyoming,g8mathematics,37.81867838,1,12,36,57023.82891
